                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0739,                 5.6655,                  1.592,                0.00107,                0.44583,                0.00114,                 0.0005,                 1.8511,                 4.3934,                 1.3865,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.8135,                  5.189,                 1.3797,                0.00116,                0.44583,                0.00096,                0.00044,                  1.816,                  4.239,                 1.4491,             0.00057767,             0.00057767,             0.00057767
                      3,                 1.8489,                 4.6247,                  1.399,                0.00047,                0.12917,                0.00114,                 0.0004,                 1.9561,                 4.0181,                 1.4044,             0.00086602,             0.00086602,             0.00086602
                      4,                 1.7714,                 4.4192,                 1.3541,                 0.0005,                0.06667,                0.00122,                0.00062,                 1.8567,                 3.8674,                 1.3759,              0.0011484,              0.0011484,              0.0011484
                      5,                 1.7109,                 4.2152,                 1.3538,                0.00083,                 0.1125,                0.00243,                0.00112,                 2.0155,                 4.1128,                 1.6688,              0.0014249,              0.0014249,              0.0014249
                      6,                 1.8332,                 4.1965,                 1.3814,                 0.0007,                  0.075,                0.00182,                 0.0009,                   1.96,                 3.8953,                 1.6616,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.809,                 3.8579,                 1.4675,                0.03312,                0.03333,                0.01829,                0.00792,                 2.1433,                  4.098,                 1.8176,               0.001568,               0.001568,               0.001568
                      8,                 1.7468,                 3.8465,                   1.37,                0.04143,                0.03333,                0.00823,                 0.0028,                 1.9089,                  4.357,                 1.5648,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7532,                 3.6956,                 1.3353,                 0.0648,                 0.0375,                0.01559,                0.00768,                 1.9268,                 5.1301,                 1.4907,               0.001535,               0.001535,               0.001535
                     10,                 1.7626,                 3.6898,                 1.3451,                0.11735,                0.05417,                0.01197,                0.00668,                 1.8894,                 5.3613,                 1.5436,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6848,                 3.4729,                 1.3198,                0.34621,                0.05417,                0.03807,                0.01831,                 1.8737,                 4.2082,                 1.5609,               0.001502,               0.001502,               0.001502
                     12,                  1.669,                 3.2597,                 1.3136,                  0.126,                0.01667,                0.02296,                0.01554,                   1.83,                 3.6907,                   1.48,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.604,                 3.2204,                 1.2624,                0.06659,                 0.0375,                0.00872,                0.00537,                 1.9291,                 4.3883,                 1.5267,               0.001469,               0.001469,               0.001469
